;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Unkn;;20,0211615374636;NaN
;A02;SYBR;;Unkn;;18,0230045695016;NaN
;A03;SYBR;;Unkn;;16,8801596435888;NaN
;A04;SYBR;;Unkn;;17,1340617909955;NaN
;A05;SYBR;;Unkn;;16,7351473482424;NaN
;A06;SYBR;;Unkn;;17,2923139741307;NaN
;A07;SYBR;;Unkn;;16,5478882758323;NaN
;A08;SYBR;;Unkn;;17,1608978552446;NaN
;A09;SYBR;;Unkn;;17,1200207265373;NaN
;A10;SYBR;;Unkn;;16,8009955662637;NaN
;A11;SYBR;;Unkn;;16,5378554578714;NaN
;A12;SYBR;;Unkn;;16,7723827334881;NaN
;B01;SYBR;;Unkn;;19,78447958944;NaN
;B02;SYBR;;Unkn;;17,5657956226201;NaN
;B03;SYBR;;Unkn;;17,3056019368088;NaN
;B04;SYBR;;Unkn;;17,1942910785636;NaN
;B05;SYBR;;Unkn;;16,3872445986606;NaN
;B06;SYBR;;Unkn;;16,804676010919;NaN
;B07;SYBR;;Unkn;;16,3551885567706;NaN
;B08;SYBR;;Unkn;;16,5389963579902;NaN
;B09;SYBR;;Unkn;;16,7468736431589;NaN
;B10;SYBR;;Unkn;;16,5695675397243;NaN
;B11;SYBR;;Unkn;;16,4348358719065;NaN
;B12;SYBR;;Unkn;;17,0427746522364;NaN
;C01;SYBR;;Unkn;;21,800700587046;NaN
;C02;SYBR;;Unkn;;21,0460865250757;NaN
;C03;SYBR;;Unkn;;21,3861672229941;NaN
;C04;SYBR;;Unkn;;21,5143897489857;NaN
;C05;SYBR;;Unkn;;20,3714386796248;NaN
;C06;SYBR;;Unkn;;19,9760896437193;NaN
;C07;SYBR;;Unkn;;21,1167994938046;NaN
;C08;SYBR;;Unkn;;21,2771819984908;NaN
;C09;SYBR;;Unkn;;21,1167544936167;NaN
;C10;SYBR;;Unkn;;19,9528665236768;NaN
;C11;SYBR;;Unkn;;20,3299269506457;NaN
;C12;SYBR;;Unkn;;20,7793817576517;NaN
;D01;SYBR;;Unkn;;22,3855691816248;NaN
;D02;SYBR;;Unkn;;21,3518102195041;NaN
;D03;SYBR;;Unkn;;21,3224151797387;NaN
;D04;SYBR;;Unkn;;21,4823694668822;NaN
;D05;SYBR;;Unkn;;20,4545434350832;NaN
;D06;SYBR;;Unkn;;19,920558288118;NaN
;D07;SYBR;;Unkn;;21,0697545590779;NaN
;D08;SYBR;;Unkn;;21,0211359749726;NaN
;D09;SYBR;;Unkn;;21,1024850565375;NaN
;D10;SYBR;;Unkn;;19,7602659327309;NaN
;D11;SYBR;;Unkn;;20,2044426614736;NaN
;D12;SYBR;;Unkn;;20,3815874133172;NaN
;E01;SYBR;;Unkn;;17,3857920948486;NaN
;E02;SYBR;;Unkn;;18,6125567093906;NaN
;E03;SYBR;;Unkn;;17,2723415011556;NaN
;E04;SYBR;;Unkn;;16,9672231910127;NaN
;E05;SYBR;;Unkn;;18,3506212560784;NaN
;E06;SYBR;;Unkn;;18,0736622932087;NaN
;E07;SYBR;;Unkn;;16,454867425415;NaN
;E08;SYBR;;Unkn;;16,8860839894962;NaN
;E09;SYBR;;Unkn;;17,8710950496812;NaN
;E10;SYBR;;Unkn;;17,360741450502;NaN
;E11;SYBR;;Unkn;;16,4445331352547;NaN
;E12;SYBR;;Unkn;;16,6353414542715;NaN
;F01;SYBR;;Unkn;;16,8995521696134;NaN
;F02;SYBR;;Unkn;;18,7850156991881;NaN
;F03;SYBR;;Unkn;;17,389929486376;NaN
;F04;SYBR;;Unkn;;16,9777910654768;NaN
;F05;SYBR;;Unkn;;18,3460413289667;NaN
;F06;SYBR;;Unkn;;18,113173520481;NaN
;F07;SYBR;;Unkn;;16,5566623094076;NaN
;F08;SYBR;;Unkn;;17,0347586498924;NaN
;F09;SYBR;;Unkn;;18,056832236405;NaN
;F10;SYBR;;Unkn;;17,2772726096896;NaN
;F11;SYBR;;Unkn;;16,3408274531726;NaN
;F12;SYBR;;Unkn;;17,3473924484663;NaN
;G01;SYBR;;Unkn;;21,0352752371413;NaN
;G02;SYBR;;Unkn;;21,3782389239713;NaN
;G03;SYBR;;Unkn;;20,9362638105097;NaN
;G04;SYBR;;Unkn;;21,628536125946;NaN
;G05;SYBR;;Unkn;;21,5504932834554;NaN
;G06;SYBR;;Unkn;;21,4023303775021;NaN
;G07;SYBR;;Unkn;;21,0903058426762;NaN
;G08;SYBR;;Unkn;;21,1260650450177;NaN
;G09;SYBR;;Unkn;;22,1368659798065;NaN
;G10;SYBR;;Unkn;;20,7871769427982;NaN
;G11;SYBR;;Unkn;;20,5510443697746;NaN
;G12;SYBR;;Unkn;;20,9426403583631;NaN
;H01;SYBR;;Unkn;;21,3010561825311;NaN
;H02;SYBR;;Unkn;;21,4152926218525;NaN
;H03;SYBR;;Unkn;;21,3056802111113;NaN
;H04;SYBR;;Unkn;;22,1547438617995;NaN
;H05;SYBR;;Unkn;;21,5929818052645;NaN
;H06;SYBR;;Unkn;;22,1323973788821;NaN
;H07;SYBR;;Unkn;;21,4001238937179;NaN
;H08;SYBR;;Unkn;;21,0911154860757;NaN
;H09;SYBR;;Unkn;;21,8127565801102;NaN
;H10;SYBR;;Unkn;;20,758792570643;NaN
;H11;SYBR;;Unkn;;20,2793087817026;NaN
;H12;SYBR;;Unkn;;21,3573432909165;NaN
