;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;;Unkn;;89;78,4918397607815;86;95;
;A02;SYBR;;Unkn;;89;100,694967183605;86;92,5;
;A03;SYBR;;Unkn;;89;100,502534903172;86;92,5;
;A04;SYBR;;Unkn;;88,5;70,750073641;86;93;
;A05;SYBR;;Unkn;;None;None;None;None;
;A06;SYBR;;Unkn;;79,5;198,32344912902;67;86,5;
;A07;SYBR;;Unkn;;82;155,869120129877;77,5;85;
;A08;SYBR;;Unkn;;85;80,4693219520891;82;94;
;A09;SYBR;;Unkn;;85;81,8548928968997;82;92;
;A10;SYBR;;Unkn;;80;65,3705319660945;73,5;82,5;
;A10;SYBR;;Unkn;;85,5;78,877951873447;82,5;92;
;A11;SYBR;;Unkn;;85,5;76,5606359000235;82;86,5;
;A11;SYBR;;Unkn;;87,5;78,2472020754101;86,5;95;
;A12;SYBR;;Unkn;;84;68,3844495218594;79,5;87;
;B01;SYBR;;Unkn;;89;101,001902206399;85,5;92,5;
;B02;SYBR;;Unkn;;89;117,076833197451;86;93,5;
;B03;SYBR;;Unkn;;89;99,9168305687443;86;92,5;
;B04;SYBR;;Unkn;;88,5;80,5446259570548;86;92,5;
;B05;SYBR;;Unkn;;84;123,883295124388;70;95;
;B06;SYBR;;Unkn;;None;None;None;None;
;B07;SYBR;;Unkn;;83,5;114,51520218512;64;90;
;B08;SYBR;;Unkn;;80;63,4770190963508;72,5;82;
;B08;SYBR;;Unkn;;85;79,7211299033281;82;92,5;
;B09;SYBR;;Unkn;;80;64,6516089550075;70;82,5;
;B09;SYBR;;Unkn;;85;71,7827450536062;82,5;92,5;
;B10;SYBR;;Unkn;;80;70,8009048713086;71,5;82;
;B10;SYBR;;Unkn;;85;86,8731442164904;82;95;
;B11;SYBR;;Unkn;;85;71,2646538449636;82;86,5;
;B11;SYBR;;Unkn;;88;71,6664327114402;86,5;92;
;B12;SYBR;;Unkn;;None;None;None;None;
;C01;SYBR;;Unkn;;81;199,031063721027;68;85,5;
;C02;SYBR;;Unkn;;81;175,179017766081;73,5;84;
;C03;SYBR;;Unkn;;80,5;192,653346116679;64;84;
;C04;SYBR;;Unkn;;80,5;194,312070080491;68,5;84,5;
;C05;SYBR;;Unkn;;80,5;192,64021941445;68;84,5;
;C06;SYBR;;Unkn;;80,5;156,177363110326;69,5;84;
;C07;SYBR;;Unkn;;81;262,826896175434;69;84,5;
;C08;SYBR;;Unkn;;81;224,940003448544;69;84,5;
;C09;SYBR;;Unkn;;81;214,121626920645;68,5;84,5;
;C10;SYBR;;Unkn;;80,5;174,522409168409;69;85,5;
;C11;SYBR;;Unkn;;81;138,05991697538;77,5;84,5;
;C12;SYBR;;Unkn;;81;206,602153335807;73,5;84,5;
;D01;SYBR;;Unkn;;81;153,340785656341;75;85;
;D02;SYBR;;Unkn;;81;169,343228328309;63;84,5;
;D03;SYBR;;Unkn;;80,5;114,460369684234;76;84;
;D04;SYBR;;Unkn;;81;218,129668211899;68;84,5;
;D05;SYBR;;Unkn;;81;208,283579712213;69,5;87;
;D06;SYBR;;Unkn;;81;218,89095809449;74,5;85,5;
;D07;SYBR;;Unkn;;80,5;205,984236654345;69,5;85,5;
;D08;SYBR;;Unkn;;81;214,898445145541;69,5;84,5;
;D09;SYBR;;Unkn;;81;212,666575226206;69;85,5;
;D10;SYBR;;Unkn;;80,5;205,214135622332;69;84;
;D11;SYBR;;Unkn;;81;169,718928898611;67,5;84,5;
;D12;SYBR;;Unkn;;81;210,954949973892;72,5;86;
;E01;SYBR;;Unkn;;83;103,052426180377;75;91;
;E02;SYBR;;Unkn;;84,5;68,878635694395;77,5;86;
;E02;SYBR;;Unkn;;88,5;95,3216485689817;86;92;
;E03;SYBR;;Unkn;;84,5;64,4073431282982;77,5;86;
;E03;SYBR;;Unkn;;88,5;99,5558336518808;86;92;
;E04;SYBR;;Unkn;;85;73,3718580450154;75,5;86;
;E04;SYBR;;Unkn;;88,5;108,461504243334;86;92,5;
;E05;SYBR;;Unkn;;81,5;72,3600126732423;77,5;84;
;E06;SYBR;;Unkn;;83,5;65,9388397785026;76,5;86,5;
;F01;SYBR;;Unkn;;88,5;69,3559329509171;86;95;
;F02;SYBR;;Unkn;;88,5;69,5931523974527;86,5;95;
;F03;SYBR;;Unkn;;88,5;77,8014357033389;86;92;
;F04;SYBR;;Unkn;;None;None;None;None;
;F05;SYBR;;Unkn;;None;None;None;None;
;F06;SYBR;;Unkn;;84,5;77,870361276173;69;86,5;
;F06;SYBR;;Unkn;;88,5;81,1389838847142;86,5;92,5;
;G01;SYBR;;Unkn;;80,5;154,923967016884;76;84;
;G02;SYBR;;Unkn;;81;232,090778586856;70,5;84,5;
;G03;SYBR;;Unkn;;80,5;228,554598206579;65,5;84,5;
;G04;SYBR;;Unkn;;80,5;208,726872264357;57,5;85;
;G05;SYBR;;Unkn;;80,5;184,109037997972;75,5;85;
;G06;SYBR;;Unkn;;81;194,819256514178;69;84;
;H01;SYBR;;Unkn;;81;166,056471007889;70,5;84,5;
;H02;SYBR;;Unkn;;81;193,915230906049;65,5;85,5;
;H03;SYBR;;Unkn;;81;194,977835011505;68;84;
;H04;SYBR;;Unkn;;80,5;161,186883732911;68,5;84;
;H05;SYBR;;Unkn;;81;209,543067817291;66,5;84,5;
;H06;SYBR;;Unkn;;81;185,660521344535;65;84;
