;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;;Unkn;;89
;A02;SYBR;;Unkn;;89
;A03;SYBR;;Unkn;;89
;A04;SYBR;;Unkn;;88,5
;A05;SYBR;;Unkn;;None
;A06;SYBR;;Unkn;;79,5
;A07;SYBR;;Unkn;;82
;A08;SYBR;;Unkn;;85
;A09;SYBR;;Unkn;;85
;A10;SYBR;;Unkn;;80
;A10;SYBR;;Unkn;;85,5
;A11;SYBR;;Unkn;;85,5
;A11;SYBR;;Unkn;;87,5
;A12;SYBR;;Unkn;;84
;B01;SYBR;;Unkn;;89
;B02;SYBR;;Unkn;;89
;B03;SYBR;;Unkn;;89
;B04;SYBR;;Unkn;;88,5
;B05;SYBR;;Unkn;;84
;B06;SYBR;;Unkn;;None
;B07;SYBR;;Unkn;;83,5
;B08;SYBR;;Unkn;;80
;B08;SYBR;;Unkn;;85
;B09;SYBR;;Unkn;;80
;B09;SYBR;;Unkn;;85
;B10;SYBR;;Unkn;;80
;B10;SYBR;;Unkn;;85
;B11;SYBR;;Unkn;;85
;B11;SYBR;;Unkn;;88
;B12;SYBR;;Unkn;;None
;C01;SYBR;;Unkn;;81
;C02;SYBR;;Unkn;;81
;C03;SYBR;;Unkn;;80,5
;C04;SYBR;;Unkn;;80,5
;C05;SYBR;;Unkn;;80,5
;C06;SYBR;;Unkn;;80,5
;C07;SYBR;;Unkn;;81
;C08;SYBR;;Unkn;;81
;C09;SYBR;;Unkn;;81
;C10;SYBR;;Unkn;;80,5
;C11;SYBR;;Unkn;;81
;C12;SYBR;;Unkn;;81
;D01;SYBR;;Unkn;;81
;D02;SYBR;;Unkn;;81
;D03;SYBR;;Unkn;;80,5
;D04;SYBR;;Unkn;;81
;D05;SYBR;;Unkn;;81
;D06;SYBR;;Unkn;;81
;D07;SYBR;;Unkn;;80,5
;D08;SYBR;;Unkn;;81
;D09;SYBR;;Unkn;;81
;D10;SYBR;;Unkn;;80,5
;D11;SYBR;;Unkn;;81
;D12;SYBR;;Unkn;;81
;E01;SYBR;;Unkn;;83
;E02;SYBR;;Unkn;;84,5
;E02;SYBR;;Unkn;;88,5
;E03;SYBR;;Unkn;;84,5
;E03;SYBR;;Unkn;;88,5
;E04;SYBR;;Unkn;;85
;E04;SYBR;;Unkn;;88,5
;E05;SYBR;;Unkn;;81,5
;E06;SYBR;;Unkn;;83,5
;F01;SYBR;;Unkn;;88,5
;F02;SYBR;;Unkn;;88,5
;F03;SYBR;;Unkn;;88,5
;F04;SYBR;;Unkn;;None
;F05;SYBR;;Unkn;;None
;F06;SYBR;;Unkn;;84,5
;F06;SYBR;;Unkn;;88,5
;G01;SYBR;;Unkn;;80,5
;G02;SYBR;;Unkn;;81
;G03;SYBR;;Unkn;;80,5
;G04;SYBR;;Unkn;;80,5
;G05;SYBR;;Unkn;;80,5
;G06;SYBR;;Unkn;;81
;H01;SYBR;;Unkn;;81
;H02;SYBR;;Unkn;;81
;H03;SYBR;;Unkn;;81
;H04;SYBR;;Unkn;;80,5
;H05;SYBR;;Unkn;;81
;H06;SYBR;;Unkn;;81
